"","x.state","sex","x.race.g1","diabete3"
"4.72.2",72,2,4,0.144531172125479
"1.78.2",78,2,1,0.0351628983816706
"2.78.2",78,2,2,0.191340214839939
"3.78.2",78,2,3,0.099805223490266
"4.78.2",78,2,4,0.159340498396892
"5.78.2",78,2,5,0.0767396167497117
"1.1",1,3,1,0.157098207366145
"2.1",2,3,1,0.0931036656333799
"4.1",4,3,1,0.111320281929967
"5.1",5,3,1,0.144745814996003
"6.1",6,3,1,0.104318882245998
"8.1",8,3,1,0.067238174735797
"9.1",9,3,1,0.103257670151948
"10.1",10,3,1,0.13178442159928
"11.1",11,3,1,0.0304723074289046
"12.1",12,3,1,0.140615640849225
"13.1",13,3,1,0.151857491549651
"15.1",15,3,1,0.0637035175239951
"16.1",16,3,1,0.100948110743257
"17.1",17,3,1,0.108437862647337
"18.1",18,3,1,0.126451409740613
"19.1",19,3,1,0.1038553835169
"20.1",20,3,1,0.109527833378228
"21.1",21,3,1,0.154744863117387
"22.1",22,3,1,0.129575019938599
"23.1",23,3,1,0.117430907627585
"24.1",24,3,1,0.111052197794442
"25.1",25,3,1,0.106463378897109
"26.1",26,3,1,0.121767394560002
"27.1",27,3,1,0.106155739183464
"28.1",28,3,1,0.138304437437144
"29.1",29,3,1,0.127078101045754
"30.1",30,3,1,0.0833179307052834
"31.1",31,3,1,0.103204198080516
"32.1",32,3,1,0.123977254415287
"33.1",33,3,1,0.109852011625638
"34.1",34,3,1,0.0966752137946772
"35.1",35,3,1,0.106367032818997
"36.1",36,3,1,0.0967073019801046
"37.1",37,3,1,0.117015762271369
"38.1",38,3,1,0.0917380104213242
"39.1",39,3,1,0.129522744840266
"40.1",40,3,1,0.125279896937199
"41.1",41,3,1,0.112957037715365
"42.1",42,3,1,0.132354583303957
"44.1",44,3,1,0.114862041838321
"45.1",45,3,1,0.128629896404651
"46.1",46,3,1,0.0852355630312822
"47.1",47,3,1,0.145373579504561
"48.1",48,3,1,0.115806711239378
"49.1",49,3,1,0.100563009609345
"50.1",50,3,1,0.0937910715153301
"51.1",51,3,1,0.123990705146224
"53.1",53,3,1,0.109523826887535
"54.1",54,3,1,0.159718000314177
"55.1",55,3,1,0.101765685187671
"56.1",56,3,1,0.0899640587465737
"66.1",66,3,1,0.0564022283846381
"72.1",72,3,1,0.224034955502028
"78.1",78,3,1,0.0459135653803695
"1.2",1,3,2,0.183683694586782
"2.2",2,3,2,0.134096185436071
"4.2",4,3,2,0.152768081369825
"5.2",5,3,2,0.179507891725066
"6.2",6,3,2,0.1215720040139
"8.2",8,3,2,0.0683326835730488
"9.2",9,3,2,0.173912498399406
"10.2",10,3,2,0.147926231615551
"11.2",11,3,2,0.149387593838671
"12.2",12,3,2,0.170409040078465
"13.2",13,3,2,0.150399033724873
"15.2",15,3,2,0.125996867773143
"16.2",16,3,2,0.0397102768906163
"17.2",17,3,2,0.161526933723943
"18.2",18,3,2,0.163723544622528
"19.2",19,3,2,0.0701767169079485
"20.2",20,3,2,0.186078884642512
"21.2",21,3,2,0.157544149202346
"22.2",22,3,2,0.163846269887239
"23.2",23,3,2,0.0424875669314114
"24.2",24,3,2,0.150538184622
"25.2",25,3,2,0.195188040511876
"26.2",26,3,2,0.133183276173079
"27.2",27,3,2,0.108954516817273
"28.2",28,3,2,0.195573461957224
"29.2",29,3,2,0.139751773460544
"30.2",30,3,2,0.13686831029325
"31.2",31,3,2,0.169068328317911
"32.2",32,3,2,0.171416951935439
