"","fips","sex","x.race.g1","x.rfbmi5"
"1.20.2",20,2,1,0.586375895049103
"2.20.2",20,2,2,0.781270532207768
"3.20.2",20,2,3,0.68527956196568
"4.20.2",20,2,4,0.457582392190892
"5.20.2",20,2,5,0.636299974925783
"1.21.2",21,2,1,0.64215120948355
"2.21.2",21,2,2,0.769557700482098
"3.21.2",21,2,3,0.59188156563249
"4.21.2",21,2,4,0.501010689246205
"5.21.2",21,2,5,0.629497236525263
"1.22.2",22,2,1,0.583190086380604
"2.22.2",22,2,2,0.793061717110605
"3.22.2",22,2,3,0.624113351511737
"4.22.2",22,2,4,0.559937562686774
"5.22.2",22,2,5,0.459059679985719
"1.23.2",23,2,1,0.582587646234528
"2.23.2",23,2,2,0.673021042744087
"3.23.2",23,2,3,0.743430374746259
"4.23.2",23,2,4,0.6296143502209
"5.23.2",23,2,5,0.587859348877196
"1.24.2",24,2,1,0.560276246044513
"2.24.2",24,2,2,0.716593601446008
"3.24.2",24,2,3,0.620888471343953
"4.24.2",24,2,4,0.37206228571902
"5.24.2",24,2,5,0.544704189673917
"1.25.2",25,2,1,0.506175618843484
"2.25.2",25,2,2,0.670903447132603
"3.25.2",25,2,3,0.601614095698778
"4.25.2",25,2,4,0.390126215461938
"5.25.2",25,2,5,0.515446871130903
"1.26.2",26,2,1,0.5971083031816
"2.26.2",26,2,2,0.792364633066295
"3.26.2",26,2,3,0.675690457947731
"4.26.2",26,2,4,0.494899853903585
"5.26.2",26,2,5,0.652301291421916
"1.27.2",27,2,1,0.54944653085088
"2.27.2",27,2,2,0.698439245912403
"3.27.2",27,2,3,0.708839461113044
"4.27.2",27,2,4,0.478259666580355
"5.27.2",27,2,5,0.679862461651248
"1.28.2",28,2,1,0.601740925733437
"2.28.2",28,2,2,0.811110282414264
"3.28.2",28,2,3,0.787286341334082
"4.28.2",28,2,4,0.629939887258504
"5.28.2",28,2,5,0.825868207331513
"1.29.2",29,2,1,0.572845905911798
"2.29.2",29,2,2,0.772739687714467
"3.29.2",29,2,3,0.624138378263404
"4.29.2",29,2,4,0.399546254160735
"5.29.2",29,2,5,0.647119500475846
"1.30.2",30,2,1,0.554134123648505
"2.30.2",30,2,2,1
"3.30.2",30,2,3,0.549741005001554
"4.30.2",30,2,4,0.524468274471035
"5.30.2",30,2,5,0.738897044031549
"1.31.2",31,2,1,0.608408008365558
"2.31.2",31,2,2,0.75704569703985
"3.31.2",31,2,3,0.644237973932405
"4.31.2",31,2,4,0.557418176465377
"5.31.2",31,2,5,0.779600971003959
"1.32.2",32,2,1,0.533096840394053
"2.32.2",32,2,2,0.742651751620937
"3.32.2",32,2,3,0.591442254440278
"4.32.2",32,2,4,0.367577173305862
"5.32.2",32,2,5,0.552654757739562
"1.33.2",33,2,1,0.54998885832994
"2.33.2",33,2,2,0.835625798786441
"3.33.2",33,2,3,0.537949409020682
"4.33.2",33,2,4,0.421337335307777
"5.33.2",33,2,5,0.634928581540762
"1.34.2",34,2,1,0.501336452160031
"2.34.2",34,2,2,0.753793641413431
"3.34.2",34,2,3,0.706189738952884
"4.34.2",34,2,4,0.30963331722228
"5.34.2",34,2,5,0.502623033335859
"1.35.2",35,2,1,0.529050405059906
