"","fips","sex","x.race.g1","variable","value"
"504",31,3,6,"x.michd",0.059147863
"505",32,1,1,"x.michd",0.09787986
"506",32,1,2,"x.michd",0.130192677
"507",32,1,3,"x.michd",0.061229053
"508",32,1,4,"x.michd",0.047532976
"509",32,1,5,"x.michd",0.08213805
"510",32,1,6,"x.michd",0.085427358
"511",32,2,1,"x.michd",0.065702608
"512",32,2,2,"x.michd",0.061723089
"513",32,2,3,"x.michd",0.023653502
"514",32,2,4,"x.michd",0.054005453
"515",32,2,5,"x.michd",0.034204608
"516",32,2,6,"x.michd",0.053164829
"517",32,3,1,"x.michd",0.081830842
"518",32,3,2,"x.michd",0.093015954
"519",32,3,3,"x.michd",0.042722579
"520",32,3,4,"x.michd",0.050898399
"521",32,3,5,"x.michd",0.05514009
"522",32,3,6,"x.michd",0.069156406
"523",33,1,1,"x.michd",0.093151635
"524",33,1,2,"x.michd",0.009135952
"525",33,1,3,"x.michd",0.057046609
"526",33,1,4,"x.michd",0.071137974
"527",33,1,5,"x.michd",0.039600641
"528",33,1,6,"x.michd",0.089581898
"529",33,2,1,"x.michd",0.038119447
"530",33,2,2,"x.michd",0
"531",33,2,3,"x.michd",0
"532",33,2,4,"x.michd",0.023723281
"533",33,2,5,"x.michd",0.159803546
"534",33,2,6,"x.michd",0.038211707
"535",33,3,1,"x.michd",0.064651437
"536",33,3,2,"x.michd",0.0060297
"537",33,3,3,"x.michd",0.03003713
"538",33,3,4,"x.michd",0.051669945
"539",33,3,5,"x.michd",0.102921407
"540",33,3,6,"x.michd",0.063312812
"541",34,1,1,"x.michd",0.096223362
"542",34,1,2,"x.michd",0.065251125
"543",34,1,3,"x.michd",0.067423109
"544",34,1,4,"x.michd",0.052173998
"545",34,1,5,"x.michd",0.007019866
"546",34,1,6,"x.michd",0.08112565
"547",34,2,1,"x.michd",0.046888071
"548",34,2,2,"x.michd",0.053443425
"549",34,2,3,"x.michd",0.058983093
"550",34,2,4,"x.michd",0.013689861
"551",34,2,5,"x.michd",0.015245654
"552",34,2,6,"x.michd",0.046227943
"553",34,3,1,"x.michd",0.070567277
"554",34,3,2,"x.michd",0.05879201
"555",34,3,3,"x.michd",0.063208749
"556",34,3,4,"x.michd",0.032733254
"557",34,3,5,"x.michd",0.011762299
"558",34,3,6,"x.michd",0.063018528
"559",35,1,1,"x.michd",0.091918918
"560",35,1,2,"x.michd",0
